Change Component Footprint: Designator=C304 Old Footprint=C-0603 New Footprint=C-0805
Change Component Footprint: Designator=C1 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C2 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C3 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C4 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C5 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C6 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C7 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C8 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C9 Old Footprint=C-0805 New Footprint=R0805
Change Component Footprint: Designator=C303 Old Footprint=C-0805 New Footprint=R0805
